public_username,trust_score
0,0.8
0b11stan,0.0
0-bit,0.0
10000,0.0
10sciple,0.0
12eon,0.0
13en,0.0
1bus,0.0
2020016,0.0
22002074t,0.0
2AA22B9S,0.0
3beberE,0.0
42,0.0
44,0.0
4wN998SD,0.0
5666650,0.0
5H1N0B1,0.0
654917,0.0
713705,0.0
821C3,0.0
8af5a,0.0
9Volt,0.0
a.,0.0
A,0.0
A2M0S,0.0
aa,0.0
aaa,0.8
AAAA,0.0
AADAD,0.0
Aaddrraa,0.0
aaellen,0.0
aalae,0.0
aamoros8,0.0
aariciae,0.0
Aatchoum,0.8
aauroux,0.0
Ab,0.0
abalamm,0.0
Abandon,0.0
abazaz,0.0
Abbygaelle,0.0
Abcdef,0.0
Abdallah,0.0
ABDC,0.0
Abde,0.8
AbdeElIlah,0.0
abel,0.0
Abel,0.8
Abell,0.0
Abey,0.0
abillaud,0.8
abougouffa,0.8
abourgeois,0.0
Abracadabrac,0.0
Abricot,0.8
ABX,0.8
Abzegada,0.0
AC4612,0.0
Accatto,0.0
Acci23,0.0
acepin5,0.0
Achikata,0.0
achille,0.0
AchilleN,0.0
achitaka,0.0
Actabi,0.0
actaruce,0.0
Acydx,0.0
adama,0.0
Adamou,0.0
AdamSouquières,0.0
AdamZs,0.0
ADAPTT_merci_Gary,0.0
adebilderling,0.8
Adedouz,0.0
Adenine,0.0
adeyemi,0.0
adham_tex,0.0
Adil,0.0
adlagachette,0.0
adolb,0.0
adrenalinos,0.0
Adri128,0.0
Adrian93160,0.0
Adrian.ast,0.0
Adrico11,0.0
adrien,0.0
Adrien,0.0
Adrien.B.,0.0
adrivsv,0.8
adsor,0.0
AdzbL,0.0
Aeki,0.0
Aelfill,0.0
aelouadi,0.0
Aeltharion,0.0
Aemaeth,0.0
aeronmoon_,0.0
a-esc,0.0
Aethel,0.0
Æxus,0.0
æyno,0.8
Aezar,0.0
Afraid0788,0.0
Agauthier,0.0
Ageritt,0.0
Aggaddon_Médixès,0.0
Agnire,0.0
Agrouuu,0.0
Agryos,0.0
aguyrgqdduilnvfils,0.0
aheranval,0.8
ahmetveburak,0.0
Ahnydre,0.0
Ahrimanox,0.0
ai.2001,0.0
aidjango,1.0
aindiana,0.0
Ainullindale,0.8
Aiquey,0.0
airCstnr,0.0
Airjibe,0.0
aiRMone,0.0
Airwin45,0.0
Aizensama,0.0
Akaime,0.0
Akame,0.0
Aka.Pulco,0.0
akasie,0.0
Aka-Wild,0.0
Akcil,0.0
Akhesa,0.0
AkiselNipese,0.0
Aktä,0.0
Aku,0.0
Al1,0.8
Al23d,0.0
Aladdin,0.0
aladir,0.0
alafay,0.0
Alain,0.0
Alan,0.0
AlanS,0.0
alaricroc,0.0
alban,0.0
alban.beautrais,0.0
alban.lopez,0.0
Albertbuchard,0.0
Albin,0.0
albrique,0.0
Alcibiades,0.0
AlCouz,0.0
Alcyde,0.0
aldaro,0.0
Aldeck,0.0
aldétonet,0.0
AldoProst,0.0
Alealea,0.0
alegoa,0.0
Alelambert,0.8
AlessandroPinna,0.0
Aletophil,0.0
Alex,0.0
Alex___,0.0
Alex886,0.0
alexandr9519,0.0
Alexandre,0.8
Alexandre93,0.0
Alexandre_Broca,0.0
Alexandre  Marlier,0.8
alexandre.marsone,0.0
alexandrerfst,0.8
AlexBccno,0.0
Alex_Boiboi,0.0
AlexC,0.8
AlexDail,0.0
AlexDiaz,0.0
Alexeï,0.0
Alex_erson,0.0
alexfriends,0.0
alexgang93,0.0
